offense_general,offense_detail,percent,count,year,type,,,
Violent,Murder,0.13,171133.17,2015,all,,,
Violent,Manslaughter,0.013,17113.317,2015,all,,,
Violent,Rape/sexual assault,0.124,163234.716,2015,all,,,
Violent,Robbery,0.128,168500.352,2015,all,,,
Violent,Aggravated/simple assault,0.102,134273.718,2015,all,,,
Violent,Other,0.032,42125.088,2015,all,,,
Property,Burglary,0.101,132957.309,2015,all,,,
Property,Larceny-theft,0.036,47390.724,2015,all,,,
Property,Motor vehicle theft,0.008,10531.272,2015,all,,,
Property,Fraud,0.023,30277.407,2015,all,,,
Property,Other,0.022,28960.998,2015,all,,,
Drug,Drug possession,0.035,46074.315,2015,all,,,
Drug,Other,0.122,160601.898,2015,all,,,
Public Order,Weapons,0.039,51339.951,2015,all,,,
Public Order,Driving under the influence,0.021,27644.589,2015,all,,,
Public Order,Other,0.056,73718.904,2015,all,,,
Other,Other,0.008,10531.272,2015,all,,,
Violent,Murder,0.125,165663.125,2014,all,,,
Violent,Manslaughter,0.01,13253.05,2014,all,,,
Violent,Rape/sexual assault,0.13,172289.65,2014,all,,,
Violent,Robbery,0.14,185542.7,2014,all,,,
Violent,Aggravated/simple assault,0.1,132530.5,2014,all,,,
Violent,Other,0.031,41084.455,2014,all,,,
Property,Burglary,0.105,139157.025,2014,all,,,
Property,Larceny-theft,0.038,50361.59,2014,all,,,
Property,Motor vehicle theft,0.008,10602.44,2014,all,,,
Property,Fraud,0.02,26506.1,2014,all,,,
Property,Other,0.02,26506.1,2014,all,,,
Drug,Drug possession,0.04,53012.2,2014,all,,,
Drug,Other,0.121,160361.905,2014,all,,,
Public Order,Weapons,0.038,50361.59,2014,all,,,
Public Order,Driving under the influence,0.02,26506.1,2014,all,,,
Public Order,Other,0.053,70241.165,2014,all,,,
Other,Other,0.008,10602.44,2014,all,,,
Violent,Murder/c,0.127,166992.3,2013,all,,,
Violent,Manslaughter,0.013,17093.7,2013,all,,,
Violent,Rape/sexual assault,0.122,160417.8,2013,all,,,
Violent,Robbery,0.137,180141.3,2013,all,,,
Violent,Aggravated or simple assault,0.107,140694.3,2013,all,,,
Violent,Other Violent,0.032,42076.8,2013,all,,,
Property,Burglary,0.099,130175.1,2013,all,,,
Property,Larceny-theft,0.037,48651.3,2013,all,,,
Property,Motor vehicle theft,0.009,11834.1,2013,all,,,
Property,Fraud,0.02,26298,2013,all,,,
Property,Other Property,0.022,28927.8,2013,all,,,
Drug,Drug possession,0.037,48651.3,2013,all,,,
Drug,Other Drug/d,0.122,160417.8,2013,all,,,
Public Order,Public Order,0.107,140694.3,2013,all,,,
Other,Other,0.008,10519.2,2013,all,,,
Violent,Homicide,0.009,1287.36,2002,federal,,,
Violent,Robbery,0.067,9583.68,2002,federal,,,
Violent,Other Violent,0.019,2717.76,2002,federal,,,
Property,Burglary,0.002,286.08,2002,federal,,,
Property,Fraud,0.046,6579.84,2002,federal,,,
Property,Other Property,0.023,3289.92,2002,federal,,,
Drug,Drug,0.567,81103.68,2002,federal,,,
Public Order,Immigration,0.109,15591.36,2002,federal,,,
Public Order,Weapons,0.096,13731.84,2002,federal,,,
Public Order,Other,0.056,8010.24,2002,federal,,,
Other,Other,0.008,1144.32,2002,federal,,,
Violent,Homicide,0.008,1144.32,2011,federal,,,
Violent,Robbery,0.039,5578.56,2011,federal,,,
Violent,Other Violent,0.016,2288.64,2011,federal,,,
Property,Burglary,0.001,143.04,2011,federal,,,
Property,Fraud,0.041,5864.64,2011,federal,,,
Property,Other Property,0.012,1716.48,2011,federal,,,
Drug,Drug,0.524,74952.96,2011,federal,,,
Public Order,Immigration,0.113,16163.52,2011,federal,,,
Public Order,Weapons,0.153,21885.12,2011,federal,,,
Public Order,Other,0.087,12444.48,2011,federal,,,
Other,Other,0.006,858.24,2011,federal,,,
Violent,Homicide,0.007,1001.28,2012,federal,,,
Violent,Robbery,0.036,5149.44,2012,federal,,,
Violent,Other Violent,0.016,2288.64,2012,federal,,,
Property,Burglary,0.001,143.04,2012,federal,,,
Property,Fraud,0.045,6436.8,2012,federal,,,
Property,Other Property,0.013,1859.52,2012,federal,,,
Drug,Drug,0.506,72378.24,2012,federal,,,
Public Order,Immigration,0.121,17307.84,2012,federal,,,
Public Order,Weapons,0.153,21885.12,2012,federal,,,
Public Order,Other,0.096,13731.84,2012,federal,,,
Other,Other,0.007,1001.28,2012,federal,,,
Drug,Drug possession,0.0021,225.3237,1998,federal,,,
Drug,Other,0.5712,61288.0464,1998,federal,,,
Other,Other,0.0291,3122.3427,1998,federal,,,
Property,Burglary,0.0019,203.8643,1998,federal,,,
Property,Fraud,0.0508,5450.6876,1998,federal,,,
Property,Other,0.0264,2832.6408,1998,federal,,,
Public Order,Immigration,0.0691,7414.2227,1998,federal,,,
Public Order,Other,0.056,6008.632,1998,federal,,,
Public Order,Weapons,0.0804,8626.6788,1998,federal,,,
