"admits","releases","year"
162574,154484,1978
172753,166132,1979
182617,169826,1980
212264,174955,1981
230834,188436,1982
250061,225856,1983
246260,221768,1984
271366,234496,1985
304858,263181,1986
339762,305098,1987
379742,336822,1988
460798,385479,1989
474128,419783,1990
480046,436991,1991
495756,447105,1992
518562,456408,1993
541434,456942,1994
562724,491858,1995
555992,504289,1996
584177,528848,1997
615226,561020,1998
625807,583013,1999
666077,643061,2000
648197,635561,2001
668738,640349,2002
697878,662857,2003
709578,680587,2004
740800,708984,2005
754196,713531,2006
754144,727360,2007
750392,740976,2008
736796,738992,2009
708923,714231,2010
676793,696306,2011
613337,642820,2012
634244,629949,2013
631310,641961,2014
608318,641027,2015
