year,rate,count
1925,79,91669
1926,83,97991
1927,92,109346
1928,97,116390
1929,99,120496
1930,105,129453
1931,111,137082
1932,111,137997
1933,109,136810
1934,109,138316
1935,113,144180
1936,113,145038
1937,119,152741
1938,123,160285
1939,137,179818
1940,132,173706
1941,126,165439
1942,116,150384
1943,108,137220
1944,104,132456
1945,101,133649
1946,100,140079
1947,105,151304
1948,107,155977
1949,110,163749
1950,110,166123
1951,109,165680
1952,109,168233
1953,110,173579
1954,114,182901
1955,113,185780
1956,114,189565
1957,115,185414
1958,119,205643
1959,118,208105
1960,119,212953
1961,121,220149
1962,118,218830
1963,116,217283
1964,113,214336
1965,110,210895
1966,103,199654
1967,99,194896
1968,94,187914
1969,98,196007
1970,97,196429
1971,96,198061
1972,95,196092
1973,98,204211
1974,104,218466
1975,113,240593
1976,123,262833
1977,132,285456
1978,137,307276
1979,139,314457
1980,144,329821
1981,160,369930
1982,178,413806
1983,186,436855
1984,195,462002
1985,210,502507
1986,226,544972
1987,240,585084
1988,255,627600
1989,287,712364
1990,309,773919
1991,326,825559
1992,344,882500
1993,374,969301
1994,403,1054702
1995,426,1125874
1996,443,1181919
1997,461,1240659
1998,481,1307154
1999,498,1363686
2000,491,1394231
2001,490,1404032
2002,498,1440144
2003,503,1468601
2004,508,1497100
2005,513,1525910
2006,523,1568674
2007,527,1596835
2008,526,1608282
2009,524,1615487
2010,520,1613803
2011,511,1598968
2012,498,1570397
2013,497,1576950
2014,488,1562319
2015,473,1526792
