year,count
1925,91669
1926,97991
1927,109346
1928,116390
1929,120496
1930,129453
1931,137082
1932,137997
1933,136810
1934,138316
1935,144180
1936,145038
1937,152741
1938,160285
1939,179818
1940,173706
1941,165439
1942,150384
1943,137220
1944,132456
1945,133649
1946,140079
1947,151304
1948,155977
1949,163749
1950,166123
1951,165680
1952,168233
1953,173579
1954,182901
1955,185780
1956,189565
1957,185414
1958,205643
1959,208105
1960,212953
1961,220149
1962,218830
1963,217283
1964,214336
1965,210895
1966,199654
1967,194896
1968,187914
1969,196007
1970,196429
1971,198061
1972,196092
1973,204211
1974,218466
1975,240593
1976,262833
1977,285456
1978,307276
1979,314457
1980,329821
1981,369930
1982,413806
1983,436855
1984,462002
1985,502507
1986,544972
1987,585084
1988,627600
1989,712364
1990,773919
1991,825559
1992,882500
1993,969301
1994,1054702
1995,1125874
1996,1181919
1997,1240659
1998,1307154
1999,1363686
2000,1394231
2001,1404032
2002,1440144
2003,1468601
2004,1497100
2005,1525910
2006,1568674
2007,1596835
2008,1608282
2009,1615487
2010,1613803
2011,1598968
2012,1570397
2013,1576950
2014,1562319
2015,1526792
