year,rate
1925,79
1926,83
1927,92
1928,97
1929,99
1930,105
1931,111
1932,111
1933,109
1934,109
1935,113
1936,113
1937,119
1938,123
1939,137
1940,132
1941,126
1942,116
1943,108
1944,104
1945,101
1946,100
1947,105
1948,107
1949,110
1950,110
1951,109
1952,109
1953,110
1954,114
1955,113
1956,114
1957,115
1958,119
1959,118
1960,119
1961,121
1962,118
1963,116
1964,113
1965,110
1966,103
1967,99
1968,94
1969,98
1970,97
1971,96
1972,95
1973,98
1974,104
1975,113
1976,123
1977,132
1978,137
1979,139
1980,144
1981,160
1982,178
1983,186
1984,195
1985,210
1986,226
1987,240
1988,255
1989,287
1990,309
1991,326
1992,344
1993,374
1994,403
1995,426
1996,443
1997,461
1998,481
1999,498
2000,491
2001,490
2002,498
2003,503
2004,508
2005,513
2006,523
2007,527
2008,526
2009,524
2010,520
2011,511
2012,498
2013,497
2014,488
2015,473
